282-,-,-,-,-,-
-0.157647,0.002096,0.048895,0.008177,-0.000836,0.058803
-0.144882,0.005055,0.047904,0.007390,0.000492,0.057495
-0.132810,0.008787,0.046349,0.006766,0.000895,0.055314
-0.121494,0.012908,0.044244,0.006374,0.000400,0.052218
-0.111104,0.016813,0.041951,0.006202,-0.000830,0.048254
-0.101829,0.020155,0.040050,0.006139,-0.002511,0.043596
-0.093813,0.023023,0.038960,0.006028,-0.004296,0.038524
-0.087082,0.025693,0.038756,0.005767,-0.005851,0.033372
-0.081572,0.028267,0.039253,0.005348,-0.006920,0.028442
-0.077150,0.030543,0.040111,0.004836,-0.007316,0.023907
-0.073520,0.032268,0.041049,0.004309,-0.006921,0.019820
-0.070249,0.033518,0.042004,0.003831,-0.005698,0.016231
-0.066945,0.034708,0.042996,0.003438,-0.003680,0.013207
-0.063387,0.036209,0.043789,0.003145,-0.000948,0.010729
-0.059492,0.038117,0.043835,0.002972,0.002353,0.008644
-0.055274,0.040260,0.042686,0.002921,0.005994,0.006690
-0.050924,0.042166,0.040288,0.002926,0.009673,0.004538
-0.046974,0.043295,0.036848,0.002835,0.013057,0.001863
-0.044286,0.043452,0.032615,0.002456,0.015843,-0.001588
-0.043758,0.042835,0.027930,0.001649,0.017822,-0.005939
-0.046153,0.041691,0.023294,0.000380,0.018895,-0.011174
-0.052191,0.040089,0.019189,-0.001271,0.019029,-0.017171
-0.062508,0.037952,0.015911,-0.003125,0.018182,-0.023745
-0.077135,0.035221,0.013651,-0.004963,0.016281,-0.030673
-0.095332,0.031914,0.012642,-0.006612,0.013249,-0.037742
-0.115826,0.028118,0.013100,-0.008001,0.009165,-0.044724
-0.136798,0.024118,0.015056,-0.009137,0.004503,-0.051231
-0.156328,0.020378,0.018333,-0.010077,0.000037,-0.056756
-0.172983,0.017285,0.022599,-0.010893,-0.003442,-0.060879
-0.185995,0.014874,0.027398,-0.011643,-0.005318,-0.063380
-0.195620,0.012784,0.032103,-0.012364,-0.005311,-0.064369
-,-,-,-,-,-
-0.004206,-0.000025,0.000657,-0.000272,0.000119,-0.001158
-0.024718,-0.000188,0.003767,-0.001584,0.000675,-0.006714
-0.070128,-0.000661,0.010381,-0.004445,0.001821,-0.018738
-0.133550,-0.001491,0.019255,-0.008378,0.003205,-0.034989
-0.199432,-0.002436,0.028303,-0.012397,0.004240,-0.051010
-0.255204,-0.003044,0.036125,-0.015729,0.004574,-0.063293
-0.295390,-0.002975,0.042237,-0.018016,0.004260,-0.070341
